Symbol,Date,Time,Type,RVOL,Max_Gain_30m,Final_PnL_30m,Is_Win
ADANIENT,2025-11-19,2025-11-19 10:55:00+05:30,SHORT,0.35446388534560447,0.19020053752325444,0.024808765763899482,True
ADANIENT,2025-11-20,2025-11-20 11:50:00+05:30,LONG,0.48858263243872146,0.12239902080783352,0.12239902080783352,True
ADANIENT,2025-11-21,2025-11-21 11:00:00+05:30,SHORT,0.6757931874083828,0.1358975414899387,-0.11942511221840942,False
ADANIENT,2025-11-24,2025-11-24 14:30:00+05:30,SHORT,1.8686876403807662,0.5609573672400897,0.47785257209340987,True
ADANIENT,2025-11-27,2025-11-27 11:00:00+05:30,SHORT,0.6623847189385771,0.24373259052924398,0.20891364902505777,True
ADANIENT,2025-11-28,2025-11-28 11:00:00+05:30,LONG,0.2794949422536428,0.7856243760579846,0.7422197143973224,True
ADANIENT,2025-12-02,2025-12-02 11:40:00+05:30,SHORT,0.9341907921647047,0.04013198965486895,-0.07580486934809029,False
INDUSINDBK,2025-11-19,2025-11-19 11:15:00+05:30,SHORT,2.825955212029083,0.26832031482916946,0.09540277860592147,True
INDUSINDBK,2025-11-20,2025-11-20 11:45:00+05:30,SHORT,0.9760263006212242,0.17397564340992808,0.12598236246926248,True
INDUSINDBK,2025-11-27,2025-11-27 11:40:00+05:30,LONG,2.904006433689136,0.4535674827004683,0.20352387044251904,True
INDUSINDBK,2025-12-01,2025-12-01 11:40:00+05:30,SHORT,0.654788737623106,0.6518292324857675,0.3875741382347839,True
INFY,2025-11-21,2025-11-21 12:40:00+05:30,LONG,2.1096963863216023,0.06451612903225806,-0.2129032258064487,False
INFY,2025-11-24,2025-11-24 14:10:00+05:30,LONG,1.3541917686275609,0.08982996470966256,-0.26948989412897306,False
INFY,2025-11-25,2025-11-25 10:55:00+05:30,SHORT,1.1852176601553746,0.13069332810560022,-0.06534666405280011,False
INFY,2025-11-26,2025-11-26 11:15:00+05:30,LONG,2.69694962027673,0.045219638242896994,-0.1808785529715733,False
INFY,2025-12-01,2025-12-01 13:40:00+05:30,LONG,1.1692205268228852,0.07016201046052663,-0.07016201046051213,False
INFY,2025-12-03,2025-12-03 10:55:00+05:30,LONG,1.8984448516285286,0.329991115623813,0.24114735372508914,True
BEL,2025-11-18,2025-11-18 15:00:00+05:30,SHORT,2.2665174924265767,0.15441263808052674,-0.15441263808054023,False
BEL,2025-11-26,2025-11-26 11:30:00+05:30,LONG,1.3451045314470902,0.2539912917271436,0.04837929366232353,True
BEL,2025-11-28,2025-11-28 12:25:00+05:30,SHORT,1.366332888473331,0.4506699147381298,0.17052375152253074,True
BEL,2025-12-01,2025-12-01 11:20:00+05:30,LONG,0.4416657629144808,0.03611846857692686,-0.32506621719239653,False
TATASTEEL,2025-11-18,2025-11-18 11:25:00+05:30,SHORT,0.33553558405081607,0.04070004070005326,-0.17442874585730736,False
TATASTEEL,2025-11-19,2025-11-19 14:40:00+05:30,LONG,2.9583389494561456,0.011525384659718915,-0.12101653892699128,False
TATASTEEL,2025-11-24,2025-11-24 12:10:00+05:30,SHORT,1.2661650526794919,0.06009615384615043,-0.10817307692308102,False
TATASTEEL,2025-11-27,2025-11-27 13:10:00+05:30,SHORT,1.06287722226301,0.25059665871120973,0.07756563245823117,True
TATASTEEL,2025-12-02,2025-12-02 11:20:00+05:30,SHORT,1.2362310208532616,0.1014501402398923,-0.005967655308240931,False
TATASTEEL,2025-12-03,2025-12-03 12:20:00+05:30,SHORT,1.004637421884194,0.204106135190301,0.15007804058110216,True
BAJAJFINSV,2025-11-19,2025-11-19 10:55:00+05:30,SHORT,0.7564158419949794,0.14713094654242276,0.10299166257969146,True
BAJAJFINSV,2025-11-21,2025-11-21 14:55:00+05:30,SHORT,5.668749160284832,0.48175182481752266,-0.09245742092457863,False
BAJAJFINSV,2025-11-24,2025-11-24 15:05:00+05:30,SHORT,6.518274652265344,0.009860474288815533,-0.6261401173396463,False
BAJAJFINSV,2025-11-27,2025-11-27 12:05:00+05:30,LONG,0.2834859967828587,0.14238253440911247,0.04746084480303749,True
BAJAJFINSV,2025-12-01,2025-12-01 12:00:00+05:30,SHORT,0.6644086352595024,0.33621517771373677,0.2689721421709851,True
BAJAJFINSV,2025-12-02,2025-12-02 11:40:00+05:30,SHORT,0.48634357690722474,0.08216132618045614,0.014499057561245332,True
HINDUNILVR,2025-11-21,2025-11-21 12:15:00+05:30,SHORT,3.2687293970004685,0.07867820613690384,-0.41823677999088604,False
HINDUNILVR,2025-11-26,2025-11-26 12:45:00+05:30,LONG,0.9749707641003814,0.004124902033572951,-0.07424823660438815,False
HINDUNILVR,2025-11-28,2025-11-28 15:05:00+05:30,LONG,2.7518944709514455,0.15004055150039813,0.15004055150039813,True
HINDUNILVR,2025-12-01,2025-12-01 14:30:00+05:30,LONG,1.189507757751396,0.008077544426487,-0.2463651050080739,False
HINDUNILVR,2025-12-02,2025-12-02 15:10:00+05:30,LONG,2.257104684907775,0.0,-0.31014621178554874,False
HINDUNILVR,2025-12-03,2025-12-03 12:30:00+05:30,SHORT,0.42810836166272154,0.19896861168634572,-0.03654525520770256,False
HINDALCO,2025-11-20,2025-11-20 11:15:00+05:30,LONG,0.6661600078201692,0.10038270907835554,-0.17566974088714357,False
HINDALCO,2025-11-24,2025-11-24 15:20:00+05:30,SHORT,3.989255001708631,0.11000388248997317,-0.12294551572407555,False
HINDALCO,2025-11-25,2025-11-25 11:10:00+05:30,LONG,0.24727827576165423,0.025484199796132197,-0.12104994903159173,False
HINDALCO,2025-11-26,2025-11-26 11:50:00+05:30,LONG,0.7298703271783993,0.4949874686716849,0.1441102756892202,True
HINDALCO,2025-11-27,2025-11-27 14:20:00+05:30,LONG,2.0029633033701635,0.4518724852986663,-0.11142061281336765,False
HINDALCO,2025-12-01,2025-12-01 12:25:00+05:30,LONG,1.1992324368996339,0.0676132521974251,0.06146659290675518,True
HINDALCO,2025-12-02,2025-12-02 10:55:00+05:30,SHORT,0.4132267514026116,0.2356735301414154,0.0,False
HINDALCO,2025-12-03,2025-12-03 12:10:00+05:30,LONG,0.6285720861626276,0.17840664410951035,0.01230390649031347,True
MARUTI,2025-11-18,2025-11-18 13:15:00+05:30,LONG,3.023317737456731,0.1941382765531062,-0.018787575150300603,False
MARUTI,2025-11-19,2025-11-19 11:10:00+05:30,SHORT,1.3346096390085427,0.2282670724747955,0.11413353623739775,True
MARUTI,2025-11-20,2025-11-20 12:05:00+05:30,SHORT,3.522530629196373,0.07665282657297988,-0.0830405621207282,False
MARUTI,2025-11-21,2025-11-21 11:20:00+05:30,LONG,0.38984198957656524,0.4217019133937563,0.35876132930513593,True
MARUTI,2025-11-25,2025-11-25 14:55:00+05:30,SHORT,2.4952049129845677,0.13238353400996028,-0.2962869570699111,False
MARUTI,2025-11-27,2025-11-27 13:10:00+05:30,SHORT,3.9347974753080193,0.10062260235205332,-0.15722281617508332,False
MARUTI,2025-12-01,2025-12-01 14:10:00+05:30,LONG,6.417298991842115,0.9422188942967678,0.11231748408835641,True
MARUTI,2025-12-02,2025-12-02 14:30:00+05:30,LONG,1.339749818765135,0.006159911297277319,-0.018479733891831957,False
BHARTIARTL,2025-11-21,2025-11-21 12:45:00+05:30,LONG,1.096950916242782,0.14294277677873213,-0.17060912067136158,False
BHARTIARTL,2025-11-24,2025-11-24 14:05:00+05:30,SHORT,2.1971108021656915,-0.009306654257785858,-0.26058631921823683,False
BHARTIARTL,2025-11-25,2025-11-25 12:45:00+05:30,LONG,1.774838544193414,0.1893239748799367,0.12467676394533954,True
BHARTIARTL,2025-11-28,2025-11-28 15:15:00+05:30,SHORT,2.314299710856494,0.1999428734647157,0.02856326763781344,True
BHARTIARTL,2025-12-01,2025-12-01 12:35:00+05:30,SHORT,1.7548874041078941,0.17252120573153348,-0.22523601859396528,False
BHARTIARTL,2025-12-03,2025-12-03 11:15:00+05:30,SHORT,1.5095685504981784,0.20609662576687987,0.07668711656441281,True
BPCL,2025-11-19,2025-11-19 11:05:00+05:30,SHORT,1.3580111688177403,0.1763907734056926,-0.13568521031207598,False
BPCL,2025-11-24,2025-11-24 11:15:00+05:30,SHORT,0.8324548104956269,0.4411967461739876,0.37225975458430055,True
BPCL,2025-11-25,2025-11-25 11:35:00+05:30,SHORT,0.5256822867567371,0.09835604889701355,0.09835604889701355,True
BPCL,2025-11-28,2025-11-28 11:20:00+05:30,SHORT,4.512719413631535,0.45712702590385856,0.29089901648428074,True
BPCL,2025-12-01,2025-12-01 12:55:00+05:30,SHORT,9.932767121398443,0.37932003371732675,0.37932003371732675,True
KOTAKBANK,2025-11-18,2025-11-18 15:15:00+05:30,SHORT,1.7913853181458814,0.004784460073676334,-0.2631453040524377,False
KOTAKBANK,2025-11-19,2025-11-19 14:10:00+05:30,LONG,1.6224042203074784,0.1233864844343377,-0.04271070615032443,False
KOTAKBANK,2025-11-21,2025-11-21 14:50:00+05:30,SHORT,1.5374158912903348,0.4502131328128785,0.35921260596771876,True
KOTAKBANK,2025-11-25,2025-11-25 10:55:00+05:30,SHORT,1.0697268349759237,0.18330921369996053,-0.053063193439455335,False
KOTAKBANK,2025-11-26,2025-11-26 13:00:00+05:30,LONG,2.3013902521957257,0.27744558718010914,0.1148050705572873,True
KOTAKBANK,2025-11-27,2025-11-27 11:10:00+05:30,LONG,0.9902230365424657,0.35876132930513166,0.3068353474320242,True
KOTAKBANK,2025-11-28,2025-11-28 11:15:00+05:30,LONG,1.052416930942706,0.2627997559716509,0.2017926697639367,True
APOLLOHOSP,2025-11-19,2025-11-19 12:15:00+05:30,LONG,1.5059400702226924,0.20134228187919465,0.15436241610738255,True
APOLLOHOSP,2025-11-21,2025-11-21 14:55:00+05:30,SHORT,3.4012122269219027,0.07445512386625151,-0.0812237714904562,False
APOLLOHOSP,2025-11-24,2025-11-24 14:40:00+05:30,SHORT,1.066116090282014,0.454823162039237,0.31226664856425224,True
APOLLOHOSP,2025-11-26,2025-11-26 12:00:00+05:30,LONG,0.9288815951900316,0.12177795818956769,-0.23002503213585007,False
APOLLOHOSP,2025-11-27,2025-11-27 13:25:00+05:30,SHORT,0.9037868780273007,0.08868272051299543,0.0,False
APOLLOHOSP,2025-12-01,2025-12-01 14:50:00+05:30,SHORT,3.4433919438307656,0.18499486125385406,0.17129153819801302,True
APOLLOHOSP,2025-12-02,2025-12-02 13:10:00+05:30,SHORT,0.5447722567287785,0.020689655172413793,0.006896551724137931,True
ADANIPORTS,2025-11-18,2025-11-18 13:55:00+05:30,SHORT,1.1919243430005528,0.2532995600586558,0.11998400213304589,True
ADANIPORTS,2025-11-19,2025-11-19 10:55:00+05:30,SHORT,1.1980655260227246,0.26317565287806804,0.19569471624266754,True
ADANIPORTS,2025-11-20,2025-11-20 13:00:00+05:30,LONG,0.8429109666377456,0.21381798743819627,0.15368167847121356,True
ADANIPORTS,2025-12-01,2025-12-01 12:35:00+05:30,LONG,0.6097168432253343,0.10428208303461751,0.02607052075865808,True
ADANIPORTS,2025-12-02,2025-12-02 11:20:00+05:30,SHORT,1.8455526785608722,0.1250575923122401,0.03290989271374975,True
