Date,OptionSymbol,Low,High,MaxReturn%,Volume
2025-12-24,COALINDIA25DEC402.5CE,3.85,12.3,219.5,2980800.0
2025-12-24,COALINDIA25DEC402.5PE,1.6,3.7,131.2,5070600.0
2025-12-24,COFORGE25DEC1740CE,29.0,48.2,66.2,1576875.0
2025-12-24,COFORGE25DEC1740PE,14.8,38.15,157.8,3988500.0
2025-12-24,COLPAL25DEC2100CE,12.7,25.0,96.9,307575.0
2025-12-24,COLPAL25DEC2100PE,10.0,19.8,98.0,167400.0
2025-12-24,CONCOR25DEC510CE,2.8,7.65,173.2,1170000.0
2025-12-24,CONCOR25DEC510PE,3.1,6.3,103.2,426250.0
2025-12-24,CROMPTON25DEC260CE,1.3,3.3,153.8,3106800.0
2025-12-24,CROMPTON25DEC260PE,2.45,4.5,83.7,714600.0
2025-12-24,CUMMINSIND25DEC4400CE,38.0,141.8,273.2,59600.0
2025-12-24,CUMMINSIND25DEC4400PE,7.4,39.8,437.8,357200.0
2025-12-24,CYIENT25DEC1120CE,11.0,27.1,146.4,249050.0
2025-12-24,CYIENT25DEC1120PE,6.65,14.65,120.3,306850.0
2025-12-24,DABUR25DEC490CE,3.6,7.6,111.1,525000.0
2025-12-24,DABUR25DEC490PE,1.65,3.45,109.1,1586250.0
2025-12-24,DALBHARAT25DEC2120CE,4.0,21.75,443.8,1861925.0
2025-12-24,DALBHARAT25DEC2120PE,19.55,29.8,52.4,80925.0
2025-12-24,DELHIVERY25DEC405CE,4.6,12.1,163.0,423300.0
2025-12-24,DELHIVERY25DEC405PE,1.2,4.35,262.5,1035425.0
2025-12-24,DIVISLAB25DEC6500CE,52.65,109.5,108.0,437900.0
2025-12-24,DIVISLAB25DEC6500PE,30.3,69.95,130.9,367400.0
2025-12-24,DIXON25DEC12750CE,178.0,574.9,223.0,464500.0
2025-12-24,DIXON25DEC12750PE,97.75,326.9,234.4,1426350.0
2025-12-24,DLF25DEC690CE,8.4,15.95,89.9,1246575.0
2025-12-24,DLF25DEC690PE,2.7,5.05,87.0,2300925.0
2025-12-24,DMART25DEC3800CE,23.7,63.7,168.8,469800.0
2025-12-24,DMART25DEC3800PE,15.2,39.2,157.9,279750.0
2025-12-24,DRREDDY25DEC1270CE,5.4,16.1,198.1,2262500.0
2025-12-24,DRREDDY25DEC1270PE,3.2,22.4,600.0,1196250.0
2025-12-24,EICHERMOT25DEC7300CE,35.0,88.0,151.4,816725.0
2025-12-24,EICHERMOT25DEC7300PE,37.05,93.0,151.0,542850.0
2025-12-24,ETERNAL25DEC285CE,2.65,4.0,50.9,13575150.0
2025-12-24,ETERNAL25DEC285PE,2.95,4.8,62.7,9321700.0
2025-12-24,EXIDEIND25DEC365CE,3.55,8.65,143.7,356400.0
2025-12-24,EXIDEIND25DEC365PE,1.05,2.45,133.3,862200.0
2025-12-24,FEDERALBNK25DEC262.5CE,1.8,5.2,188.9,2820000.0
2025-12-24,FEDERALBNK25DEC262.5PE,0.6,2.15,258.3,11600000.0
2025-12-24,FORTIS25DEC900CE,7.45,13.7,83.9,539400.0
2025-12-24,FORTIS25DEC900PE,4.4,8.3,88.6,540950.0
2025-12-24,GAIL25DEC170CE,1.95,4.32,121.5,2664900.0
2025-12-24,GAIL25DEC170PE,0.35,1.11,217.1,3792600.0
2025-12-24,GLENMARK25DEC2020CE,13.55,33.4,146.5,530250.0
2025-12-24,GLENMARK25DEC2020PE,14.05,23.6,68.0,880125.0
2025-12-24,GMRAIRPORT25DEC103CE,1.15,3.0,160.9,3996675.0
2025-12-24,GMRAIRPORT25DEC103PE,0.43,1.06,146.5,8767575.0
2025-12-24,GODREJCP25DEC1200CE,5.8,12.8,120.7,1650000.0
2025-12-24,GODREJCP25DEC1200PE,9.75,16.9,73.3,221500.0
2025-12-24,GODREJPROP25DEC2000CE,24.4,55.0,125.4,249975.0
2025-12-24,GODREJPROP25DEC2000PE,7.75,18.4,137.4,438075.0
2025-12-24,GRASIM25DEC2840CE,12.5,38.0,204.0,530000.0
2025-12-24,GRASIM25DEC2840PE,11.25,26.65,136.9,225500.0
2025-12-24,HAL25DEC4400CE,38.0,75.5,98.7,900600.0
2025-12-24,HAL25DEC4400PE,16.4,40.0,143.9,928200.0
2025-12-24,HAVELLS25DEC1420CE,11.3,24.85,119.9,289000.0
2025-12-24,HAVELLS25DEC1420PE,4.3,11.1,158.1,756000.0
2025-12-24,HCLTECH25DEC1680CE,6.7,13.15,96.3,2416750.0
2025-12-24,HCLTECH25DEC1680PE,13.5,22.0,63.0,471100.0
2025-12-24,HDFCAMC25DEC2660CE,18.45,71.95,290.0,181200.0
2025-12-24,HDFCAMC25DEC2660PE,5.95,32.6,447.9,398700.0
2025-12-24,HDFCBANK25DEC995CE,5.7,9.4,64.9,3482050.0
2025-12-24,HDFCBANK25DEC995PE,3.7,6.3,70.3,5925700.0
2025-12-24,HDFCLIFE25DEC760CE,3.4,9.9,191.2,1579600.0
2025-12-24,HDFCLIFE25DEC760PE,2.55,8.05,215.7,1309000.0
2025-12-24,HEROMOTOCO25DEC5700CE,37.1,88.0,137.2,523200.0
2025-12-24,HEROMOTOCO25DEC5700PE,27.8,51.5,85.3,1563900.0
2025-12-24,HFCL25DEC64CE,1.14,3.33,192.1,715950.0
2025-12-24,HFCL25DEC64PE,0.32,1.15,259.4,4205400.0
2025-12-24,HINDALCO25DEC860CE,9.15,23.5,156.8,3049900.0
2025-12-24,HINDALCO25DEC860PE,2.5,8.65,246.0,7450800.0
2025-12-24,HINDPETRO25DEC470CE,4.1,9.75,137.8,1777950.0
2025-12-24,HINDPETRO25DEC470PE,2.1,4.95,135.7,1767825.0
2025-12-24,HINDUNILVR25DEC2280CE,13.0,26.05,100.4,357900.0
2025-12-24,HINDUNILVR25DEC2280PE,6.95,11.7,68.3,545700.0
2025-12-24,HINDZINC25DEC625CE,6.0,14.0,133.3,20967100.0
2025-12-24,HINDZINC25DEC625PE,7.1,13.5,90.1,7201775.0
2025-12-24,HUDCO25DEC215CE,2.42,5.61,131.8,1670550.0
2025-12-24,HUDCO25DEC215PE,0.71,1.72,142.3,1742700.0
2025-12-24,ICICIBANK25DEC1360CE,6.7,12.0,79.1,5993400.0
2025-12-24,ICICIBANK25DEC1360PE,4.15,7.75,86.7,5297600.0
2025-12-24,ICICIGI25DEC1960CE,8.95,19.5,117.9,96850.0
2025-12-24,ICICIGI25DEC1960PE,12.7,20.85,64.2,37050.0
2025-12-24,ICICIPRULI25DEC650CE,4.7,8.8,87.2,353350.0
2025-12-24,ICICIPRULI25DEC650PE,3.55,5.3,49.3,268250.0
2025-12-24,IDEA25DEC12CE,0.24,0.44,83.3,387680400.0
2025-12-24,IDEA25DEC12PE,0.18,0.33,83.3,247232025.0
2025-12-24,IDFCFIRSTB25DEC84CE,0.72,1.56,116.7,3849125.0
2025-12-24,IDFCFIRSTB25DEC84PE,0.26,0.55,111.5,9404850.0
2025-12-24,IEX25DEC140CE,0.91,3.82,319.8,5756250.0
2025-12-24,IEX25DEC140PE,0.48,2.24,366.7,4117500.0
2025-12-24,IIFL25DEC600CE,1.75,10.9,522.9,24723600.0
