Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-21 00:00:00+05:30,667.0988889488765,673.3067395501777,665.1281389076686,671.7301635742188,7291057,0.0,0.0
2023-11-22 00:00:00+05:30,673.9472691469798,677.2975081900635,666.1627822911768,671.2374877929688,9279642,0.0,0.0
2023-11-23 00:00:00+05:30,673.208206026134,675.8687305309161,667.1481257731593,670.0057373046875,5885370,0.0,0.0
2023-11-24 00:00:00+05:30,671.434567708015,671.9765119445657,661.4329871231859,663.84716796875,6951690,0.0,0.0
2023-11-28 00:00:00+05:30,667.5423152634106,689.2205655714304,664.3891031901042,687.299072265625,16015860,0.0,0.0
2023-11-29 00:00:00+05:30,692.4722482384329,703.9518904981817,684.1950745760158,701.9318237304688,16122864,0.0,0.0
2023-11-30 00:00:00+05:30,705.8240848905522,706.7602031483909,686.8063598388685,696.0689086914062,24275245,0.0,0.0
2023-12-01 00:00:00+05:30,697.6455067457928,700.6016317743766,692.718631698153,695.1328125,10565415,0.0,0.0
2023-12-04 00:00:00+05:30,705.5285027096462,706.5138777134306,694.4922906387571,695.2805786132812,9348036,0.0,0.0
2023-12-05 00:00:00+05:30,695.5762223438206,704.4445971626071,694.6893608049356,698.5816040039062,9601509,0.0,0.0
2023-12-06 00:00:00+05:30,698.6801066894994,714.1997623834682,698.6308499697676,711.8841552734375,12148825,0.0,0.0
2023-12-07 00:00:00+05:30,714.3968611554417,716.8602986077018,705.5284863273051,711.3914794921875,10451801,0.0,0.0
2023-12-08 00:00:00+05:30,711.4900443360181,716.9588638466361,697.1528493565534,704.0997314453125,8557203,0.0,0.0
2023-12-11 00:00:00+05:30,707.3021757279353,715.8749504110516,706.0704569557208,710.25830078125,6403209,0.0,0.0
2023-12-12 00:00:00+05:30,714.1998060433963,714.1998060433963,702.572392777683,704.9373168945312,6461539,0.0,0.0
2023-12-13 00:00:00+05:30,705.5285243820751,710.8988303461688,703.0650867969422,709.765625,5807736,0.0,0.0
2023-12-14 00:00:00+05:30,713.4114764241056,714.1012509298142,708.0904275429418,709.2236328125,6732352,0.0,0.0
